"winners_id","winners","winning_tribe"
269,"Sandy","Jalapao"
270,"Spencer","Jalapao"
271,"Sydney","Jalapao"
272,"Joe","Jalapao"
278,"Taj","Jalapao"
280,"Stephen","Jalapao"
281,"J.T.","Jalapao"
269,"Sandy","Jalapao"
270,"Spencer","Jalapao"
271,"Sydney","Jalapao"
272,"Joe","Jalapao"
278,"Taj","Jalapao"
280,"Stephen","Jalapao"
281,"J.T.","Jalapao"
269,"Sandy","Jalapao"
270,"Spencer","Jalapao"
271,"Sydney","Jalapao"
272,"Joe","Jalapao"
278,"Taj","Jalapao"
280,"Stephen","Jalapao"
281,"J.T.","Jalapao"
269,"Sandy","Jalapao"
270,"Spencer","Jalapao"
271,"Sydney","Jalapao"
272,"Joe","Jalapao"
278,"Taj","Jalapao"
280,"Stephen","Jalapao"
281,"J.T.","Jalapao"
273,"Brendan","Timbira"
274,"Tyson","Timbira"
275,"Sierra","Timbira"
276,"Debbie","Timbira"
277,"Coach","Timbira"
279,"Erinn","Timbira"
270,"Spencer","Jalapao"
271,"Sydney","Jalapao"
272,"Joe","Jalapao"
278,"Taj","Jalapao"
280,"Stephen","Jalapao"
281,"J.T.","Jalapao"
273,"Brendan","Timbira"
274,"Tyson","Timbira"
275,"Sierra","Timbira"
276,"Debbie","Timbira"
277,"Coach","Timbira"
279,"Erinn","Timbira"
273,"Brendan","Timbira"
274,"Tyson","Timbira"
275,"Sierra","Timbira"
276,"Debbie","Timbira"
277,"Coach","Timbira"
279,"Erinn","Timbira"
273,"Brendan","Timbira"
274,"Tyson","Timbira"
275,"Sierra","Timbira"
276,"Debbie","Timbira"
277,"Coach","Timbira"
279,"Erinn","Timbira"
274,"Tyson",NA
273,"Brendan",NA
276,"Debbie",NA
281,"J.T.",NA
274,"Tyson",NA
276,"Debbie",NA
279,"Erinn",NA
281,"J.T.",NA
274,"Tyson",NA
276,"Debbie",NA
280,"Stephen",NA
281,"J.T.",NA
278,"Taj",NA
277,"Coach",NA
NA,NA,NA
280,"Stephen",NA
281,"J.T.",NA
280,"Stephen",NA
281,"J.T.",NA
281,"J.T.",NA
250,"Paloma","Kota"
251,"Jacquie","Kota"
253,"Kelly","Kota"
254,"Ace","Kota"
256,"Marcus","Kota"
257,"Charlie","Kota"
259,"Corinne","Kota"
263,"Sugar","Kota"
265,"Bob","Kota"
252,"GC",NA
250,"Paloma","Kota"
251,"Jacquie","Kota"
253,"Kelly","Kota"
254,"Ace","Kota"
256,"Marcus","Kota"
257,"Charlie","Kota"
259,"Corinne","Kota"
263,"Sugar","Kota"
265,"Bob","Kota"
250,"Paloma","Kota"
251,"Jacquie","Kota"
253,"Kelly","Kota"
254,"Ace","Kota"
256,"Marcus","Kota"
257,"Charlie","Kota"
259,"Corinne","Kota"
263,"Sugar","Kota"
265,"Bob","Kota"
250,"Paloma","Kota"
251,"Jacquie","Kota"
253,"Kelly","Kota"
254,"Ace","Kota"
256,"Marcus","Kota"
257,"Charlie","Kota"
259,"Corinne","Kota"
263,"Sugar","Kota"
265,"Bob","Kota"
252,"GC","Fang"
255,"Dan","Fang"
258,"Randy","Fang"
260,"Crystal","Fang"
261,"Ken","Fang"
262,"Matty","Fang"
264,"Susie","Fang"
252,"GC","Fang"
255,"Dan","Fang"
258,"Randy","Fang"
260,"Crystal","Fang"
261,"Ken","Fang"
262,"Matty","Fang"
264,"Susie","Fang"
256,"Marcus",NA
255,"Dan","Kota"
256,"Marcus","Kota"
257,"Charlie","Kota"
258,"Randy","Kota"
259,"Corinne","Kota"
264,"Susie","Kota"
265,"Bob","Kota"
255,"Dan","Kota"
256,"Marcus","Kota"
257,"Charlie","Kota"
258,"Randy","Kota"
259,"Corinne","Kota"
264,"Susie","Kota"
265,"Bob","Kota"
255,"Dan","Kota"
256,"Marcus","Kota"
257,"Charlie","Kota"
258,"Randy","Kota"
259,"Corinne","Kota"
264,"Susie","Kota"
265,"Bob","Kota"
255,"Dan","Kota"
256,"Marcus","Kota"
257,"Charlie","Kota"
258,"Randy","Kota"
259,"Corinne","Kota"
264,"Susie","Kota"
265,"Bob","Kota"
255,"Dan","Kota"
256,"Marcus","Kota"
257,"Charlie","Kota"
258,"Randy","Kota"
259,"Corinne","Kota"
264,"Susie","Kota"
265,"Bob","Kota"
255,"Dan","Kota"
256,"Marcus","Kota"
257,"Charlie","Kota"
258,"Randy","Kota"
259,"Corinne","Kota"
264,"Susie","Kota"
265,"Bob","Kota"
255,"Dan","Kota"
256,"Marcus","Kota"
257,"Charlie","Kota"
258,"Randy","Kota"
259,"Corinne","Kota"
264,"Susie","Kota"
265,"Bob","Kota"
256,"Marcus",NA
263,"Sugar",NA
257,"Charlie","Fang"
258,"Randy","Fang"
259,"Corinne","Fang"
262,"Matty","Fang"
263,"Sugar","Fang"
264,"Susie",NA
NA,NA,NA
261,"Ken",NA
265,"Bob",NA
265,"Bob",NA
265,"Bob",NA
260,"Crystal",NA
261,"Ken",NA
265,"Bob",NA
265,"Bob",NA
264,"Susie",NA
218,"Yau-Man",NA
238,"Mary","Airai"
239,"Mikey B","Airai"
240,"Joel","Airai"
241,"Chet","Airai"
242,"Kathy","Airai"
243,"Tracy","Airai"
244,"Jason","Airai"
245,"Alexis","Airai"
246,"Erik","Airai"
247,"Natalie","Airai"
238,"Mary","Airai"
239,"Mikey B","Airai"
240,"Joel","Airai"
241,"Chet","Airai"
242,"Kathy","Airai"
243,"Tracy","Airai"
244,"Jason","Airai"
245,"Alexis","Airai"
246,"Erik","Airai"
247,"Natalie","Airai"
218,"Yau-Man","Malakal"
196,"Jonathan","Malakal"
125,"Ami","Malakal"
127,"Eliza","Malakal"
201,"Ozzy","Malakal"
231,"James","Malakal"
179,"Cirie","Malakal"
235,"Amanda","Malakal"
197,"Parvati","Malakal"
218,"Yau-Man","Malakal"
196,"Jonathan","Malakal"
125,"Ami","Malakal"
127,"Eliza","Malakal"
201,"Ozzy","Malakal"
231,"James","Malakal"
179,"Cirie","Malakal"
235,"Amanda","Malakal"
197,"Parvati","Malakal"
218,"Yau-Man","Malakal"
196,"Jonathan","Malakal"
125,"Ami","Malakal"
127,"Eliza","Malakal"
201,"Ozzy","Malakal"
231,"James","Malakal"
179,"Cirie","Malakal"
235,"Amanda","Malakal"
197,"Parvati","Malakal"
239,"Mikey B","Airai"
240,"Joel","Airai"
241,"Chet","Airai"
242,"Kathy","Airai"
243,"Tracy","Airai"
244,"Jason","Airai"
245,"Alexis","Airai"
246,"Erik","Airai"
247,"Natalie","Airai"
196,"Jonathan","Malakal"
125,"Ami","Malakal"
127,"Eliza","Malakal"
201,"Ozzy","Malakal"
231,"James","Malakal"
179,"Cirie","Malakal"
235,"Amanda","Malakal"
197,"Parvati","Malakal"
196,"Jonathan","Malakal"
125,"Ami","Malakal"
127,"Eliza","Malakal"
201,"Ozzy","Malakal"
231,"James","Malakal"
179,"Cirie","Malakal"
235,"Amanda","Malakal"
197,"Parvati","Malakal"
196,"Jonathan","Airai"
242,"Kathy","Airai"
127,"Eliza","Airai"
244,"Jason","Airai"
231,"James","Airai"
245,"Alexis","Airai"
247,"Natalie","Airai"
197,"Parvati","Airai"
196,"Jonathan","Airai"
242,"Kathy","Airai"
127,"Eliza","Airai"
244,"Jason","Airai"
231,"James","Airai"
245,"Alexis","Airai"
247,"Natalie","Airai"
197,"Parvati","Airai"
196,"Jonathan","Airai"
242,"Kathy","Airai"
127,"Eliza","Airai"
244,"Jason","Airai"
231,"James","Airai"
245,"Alexis","Airai"
247,"Natalie","Airai"
197,"Parvati","Airai"
196,"Jonathan","Airai"
242,"Kathy","Airai"
127,"Eliza","Airai"
244,"Jason","Airai"
231,"James","Airai"
245,"Alexis","Airai"
247,"Natalie","Airai"
197,"Parvati","Airai"
242,"Kathy","Airai"
127,"Eliza","Airai"
244,"Jason","Airai"
231,"James","Airai"
245,"Alexis","Airai"
247,"Natalie","Airai"
197,"Parvati","Airai"
242,"Kathy","Airai"
127,"Eliza","Airai"
244,"Jason","Airai"
231,"James","Airai"
245,"Alexis","Airai"
247,"Natalie","Airai"
197,"Parvati","Airai"
243,"Tracy","Malakal"
125,"Ami","Malakal"
201,"Ozzy","Malakal"
246,"Erik","Malakal"
179,"Cirie","Malakal"
235,"Amanda","Malakal"
242,"Kathy","Airai"
127,"Eliza","Airai"
244,"Jason","Airai"
231,"James","Airai"
245,"Alexis","Airai"
247,"Natalie","Airai"
197,"Parvati","Airai"
243,"Tracy","Malakal"
125,"Ami","Malakal"
201,"Ozzy","Malakal"
246,"Erik","Malakal"
179,"Cirie","Malakal"
235,"Amanda","Malakal"
127,"Eliza","Airai"
244,"Jason","Airai"
231,"James","Airai"
245,"Alexis","Airai"
247,"Natalie","Airai"
197,"Parvati","Airai"
127,"Eliza","Airai"
244,"Jason","Airai"
231,"James","Airai"
245,"Alexis","Airai"
247,"Natalie","Airai"
197,"Parvati","Airai"
127,"Eliza","Airai"
244,"Jason","Airai"
231,"James","Airai"
245,"Alexis","Airai"
247,"Natalie","Airai"
197,"Parvati","Airai"
244,"Jason",NA
235,"Amanda",NA
246,"Erik",NA
244,"Jason",NA
201,"Ozzy",NA
197,"Parvati",NA
NA,NA,NA
246,"Erik",NA
245,"Alexis",NA
179,"Cirie",NA
247,"Natalie",NA
246,"Erik",NA
245,"Alexis",NA
179,"Cirie",NA
247,"Natalie",NA
246,"Erik",NA
246,"Erik",NA
235,"Amanda",NA
246,"Erik",NA
235,"Amanda",NA
224,"Leslie","Fei Long"
226,"Aaron","Fei Long"
229,"Jean-Robert","Fei Long"
231,"James","Fei Long"
234,"Denise","Fei Long"
235,"Amanda","Fei Long"
236,"Courtney","Fei Long"
237,"Todd","Fei Long"
224,"Leslie","Fei Long"
226,"Aaron","Fei Long"
229,"Jean-Robert","Fei Long"
231,"James","Fei Long"
234,"Denise","Fei Long"
235,"Amanda","Fei Long"
236,"Courtney","Fei Long"
237,"Todd","Fei Long"
224,"Leslie","Fei Long"
226,"Aaron","Fei Long"
229,"Jean-Robert","Fei Long"
231,"James","Fei Long"
234,"Denise","Fei Long"
235,"Amanda","Fei Long"
236,"Courtney","Fei Long"
237,"Todd","Fei Long"
224,"Leslie","Fei Long"
226,"Aaron","Fei Long"
229,"Jean-Robert","Fei Long"
231,"James","Fei Long"
234,"Denise","Fei Long"
235,"Amanda","Fei Long"
236,"Courtney","Fei Long"
237,"Todd","Fei Long"
225,"Dave","Zhan Hu"
227,"Sherea","Zhan Hu"
228,"Jaime","Zhan Hu"
230,"Frosti","Zhan Hu"
232,"Erik","Zhan Hu"
233,"Peih-Gee","Zhan Hu"
225,"Dave","Zhan Hu"
227,"Sherea","Zhan Hu"
228,"Jaime","Zhan Hu"
230,"Frosti","Zhan Hu"
232,"Erik","Zhan Hu"
233,"Peih-Gee","Zhan Hu"
226,"Aaron","Fei Long"
229,"Jean-Robert","Fei Long"
231,"James","Fei Long"
234,"Denise","Fei Long"
235,"Amanda","Fei Long"
236,"Courtney","Fei Long"
237,"Todd","Fei Long"
226,"Aaron","Fei Long"
229,"Jean-Robert","Fei Long"
231,"James","Fei Long"
234,"Denise","Fei Long"
235,"Amanda","Fei Long"
236,"Courtney","Fei Long"
237,"Todd","Fei Long"
227,"Sherea","Fei Long"
229,"Jean-Robert","Fei Long"
230,"Frosti","Fei Long"
234,"Denise","Fei Long"
235,"Amanda","Fei Long"
236,"Courtney","Fei Long"
237,"Todd","Fei Long"
227,"Sherea","Fei Long"
229,"Jean-Robert","Fei Long"
230,"Frosti","Fei Long"
234,"Denise","Fei Long"
235,"Amanda","Fei Long"
236,"Courtney","Fei Long"
237,"Todd","Fei Long"
228,"Jaime","Zhan Hu"
231,"James","Zhan Hu"
232,"Erik","Zhan Hu"
233,"Peih-Gee","Zhan Hu"
230,"Frosti",NA
235,"Amanda",NA
231,"James",NA
229,"Jean-Robert",NA
237,"Todd",NA
236,"Courtney",NA
233,"Peih-Gee",NA
235,"Amanda",NA
236,"Courtney",NA
232,"Erik",NA
230,"Frosti",NA
233,"Peih-Gee",NA
234,"Denise",NA
232,"Erik",NA
232,"Erik",NA
233,"Peih-Gee",NA
234,"Denise",NA
235,"Amanda",NA
237,"Todd",NA
234,"Denise",NA
235,"Amanda",NA
237,"Todd",NA
235,"Amanda",NA
235,"Amanda",NA
237,"Todd",NA
235,"Amanda",NA
206,"Gary","Moto"
207,"Liliana","Moto"
211,"Lisi","Moto"
213,"Edgardo","Moto"
215,"Alex","Moto"
216,"Stacy","Moto"
217,"Boo","Moto"
219,"Dreamz","Moto"
220,"Cassandra","Moto"
206,"Gary","Moto"
207,"Liliana","Moto"
211,"Lisi","Moto"
213,"Edgardo","Moto"
215,"Alex","Moto"
216,"Stacy","Moto"
217,"Boo","Moto"
219,"Dreamz","Moto"
220,"Cassandra","Moto"
206,"Gary","Moto"
207,"Liliana","Moto"
211,"Lisi","Moto"
213,"Edgardo","Moto"
215,"Alex","Moto"
216,"Stacy","Moto"
217,"Boo","Moto"
219,"Dreamz","Moto"
220,"Cassandra","Moto"
206,"Gary","Moto"
207,"Liliana","Moto"
211,"Lisi","Moto"
213,"Edgardo","Moto"
215,"Alex","Moto"
216,"Stacy","Moto"
217,"Boo","Moto"
219,"Dreamz","Moto"
220,"Cassandra","Moto"
206,"Gary","Moto"
207,"Liliana","Moto"
211,"Lisi","Moto"
213,"Edgardo","Moto"
215,"Alex","Moto"
216,"Stacy","Moto"
217,"Boo","Moto"
219,"Dreamz","Moto"
220,"Cassandra","Moto"
206,"Gary","Moto"
207,"Liliana","Moto"
211,"Lisi","Moto"
213,"Edgardo","Moto"
215,"Alex","Moto"
216,"Stacy","Moto"
217,"Boo","Moto"
219,"Dreamz","Moto"
220,"Cassandra","Moto"
206,"Gary","Moto"
207,"Liliana","Moto"
211,"Lisi","Moto"
213,"Edgardo","Moto"
215,"Alex","Moto"
216,"Stacy","Moto"
217,"Boo","Moto"
219,"Dreamz","Moto"
220,"Cassandra","Moto"
206,"Gary","Moto"
207,"Liliana","Moto"
211,"Lisi","Moto"
213,"Edgardo","Moto"
215,"Alex","Moto"
216,"Stacy","Moto"
217,"Boo","Moto"
219,"Dreamz","Moto"
220,"Cassandra","Moto"
207,"Liliana","Moto"
211,"Lisi","Moto"
213,"Edgardo","Moto"
215,"Alex","Moto"
216,"Stacy","Moto"
217,"Boo","Moto"
219,"Dreamz","Moto"
220,"Cassandra","Moto"
208,"Rita","Ravu"
209,"Anthony","Ravu"
210,"Rocky","Ravu"
212,"Michelle","Ravu"
214,"Mookie","Ravu"
218,"Yau-Man","Ravu"
221,"Earl","Ravu"
211,"Lisi","Moto"
213,"Edgardo","Moto"
215,"Alex","Moto"
216,"Stacy","Moto"
217,"Boo","Moto"
219,"Dreamz","Moto"
220,"Cassandra","Moto"
211,"Lisi","Moto"
213,"Edgardo","Moto"
215,"Alex","Moto"
216,"Stacy","Moto"
217,"Boo","Moto"
219,"Dreamz","Moto"
220,"Cassandra","Moto"
212,"Michelle","Moto"
216,"Stacy","Moto"
217,"Boo","Moto"
218,"Yau-Man","Moto"
220,"Cassandra","Moto"
221,"Earl","Moto"
210,"Rocky","Ravu"
211,"Lisi","Ravu"
213,"Edgardo","Ravu"
214,"Mookie","Ravu"
215,"Alex","Ravu"
219,"Dreamz","Ravu"
212,"Michelle","Moto"
216,"Stacy","Moto"
217,"Boo","Moto"
218,"Yau-Man","Moto"
220,"Cassandra","Moto"
221,"Earl","Moto"
212,"Michelle","Moto"
216,"Stacy","Moto"
217,"Boo","Moto"
218,"Yau-Man","Moto"
220,"Cassandra","Moto"
221,"Earl","Moto"
212,"Michelle","Moto"
216,"Stacy","Moto"
217,"Boo","Moto"
218,"Yau-Man","Moto"
220,"Cassandra","Moto"
221,"Earl","Moto"
217,"Boo",NA
220,"Cassandra",NA
221,"Earl",NA
213,"Edgardo",NA
218,"Yau-Man",NA
217,"Boo",NA
218,"Yau-Man",NA
220,"Cassandra",NA
217,"Boo",NA
219,"Dreamz",NA
218,"Yau-Man",NA
215,"Alex",NA
219,"Dreamz",NA
221,"Earl",NA
216,"Stacy",NA
216,"Stacy",NA
217,"Boo",NA
219,"Dreamz",NA
218,"Yau-Man",NA
217,"Boo",NA
218,"Yau-Man",NA
219,"Dreamz",NA
217,"Boo",NA
216,"Stacy",NA
217,"Boo",NA
218,"Yau-Man",NA
219,"Dreamz",NA
188,"Cao Boi","Puka Puka"
191,"Brad","Puka Puka"
193,"Jenny","Puka Puka"
200,"Becky","Puka Puka"
202,"Yul","Puka Puka"
188,"Cao Boi","Puka Puka"
191,"Brad","Puka Puka"
193,"Jenny","Puka Puka"
200,"Becky","Puka Puka"
202,"Yul","Puka Puka"
188,"Cao Boi","Puka Puka"
191,"Brad","Puka Puka"
193,"Jenny","Puka Puka"
200,"Becky","Puka Puka"
202,"Yul","Puka Puka"
188,"Cao Boi","Puka Puka"
191,"Brad","Puka Puka"
193,"Jenny","Puka Puka"
200,"Becky","Puka Puka"
202,"Yul","Puka Puka"
186,"J.P.","Rarotonga"
187,"Stephannie","Rarotonga"
189,"Cristina","Rarotonga"
191,"Brad","Rarotonga"
192,"Rebecca","Rarotonga"
193,"Jenny","Rarotonga"
194,"Nate","Rarotonga"
197,"Parvati","Rarotonga"
198,"Adam","Rarotonga"
188,"Cao Boi","Aitutaki"
190,"Jessica","Aitutaki"
195,"Candice","Aitutaki"
196,"Jonathan","Aitutaki"
199,"Sundra","Aitutaki"
200,"Becky","Aitutaki"
201,"Ozzy","Aitutaki"
202,"Yul","Aitutaki"
188,"Cao Boi","Aitutaki"
190,"Jessica","Aitutaki"
195,"Candice","Aitutaki"
196,"Jonathan","Aitutaki"
199,"Sundra","Aitutaki"
200,"Becky","Aitutaki"
201,"Ozzy","Aitutaki"
202,"Yul","Aitutaki"
187,"Stephannie","Rarotonga"
189,"Cristina","Rarotonga"
191,"Brad","Rarotonga"
192,"Rebecca","Rarotonga"
193,"Jenny","Rarotonga"
194,"Nate","Rarotonga"
197,"Parvati","Rarotonga"
198,"Adam","Rarotonga"
188,"Cao Boi","Aitutaki"
190,"Jessica","Aitutaki"
195,"Candice","Aitutaki"
196,"Jonathan","Aitutaki"
199,"Sundra","Aitutaki"
200,"Becky","Aitutaki"
201,"Ozzy","Aitutaki"
202,"Yul","Aitutaki"
188,"Cao Boi","Aitutaki"
190,"Jessica","Aitutaki"
195,"Candice","Aitutaki"
196,"Jonathan","Aitutaki"
199,"Sundra","Aitutaki"
200,"Becky","Aitutaki"
201,"Ozzy","Aitutaki"
202,"Yul","Aitutaki"
194,"Nate",NA
194,"Nate",NA
190,"Jessica","Aitutaki"
195,"Candice","Aitutaki"
196,"Jonathan","Aitutaki"
199,"Sundra","Aitutaki"
200,"Becky","Aitutaki"
201,"Ozzy","Aitutaki"
202,"Yul","Aitutaki"
191,"Brad","Rarotonga"
192,"Rebecca","Rarotonga"
193,"Jenny","Rarotonga"
194,"Nate","Rarotonga"
197,"Parvati","Rarotonga"
198,"Adam","Rarotonga"
199,"Sundra","Aitutaki"
200,"Becky","Aitutaki"
201,"Ozzy","Aitutaki"
202,"Yul","Aitutaki"
199,"Sundra","Aitutaki"
200,"Becky","Aitutaki"
201,"Ozzy","Aitutaki"
202,"Yul","Aitutaki"
199,"Sundra","Aitutaki"
200,"Becky","Aitutaki"
201,"Ozzy","Aitutaki"
202,"Yul","Aitutaki"
199,"Sundra","Aitutaki"
200,"Becky","Aitutaki"
201,"Ozzy","Aitutaki"
202,"Yul","Aitutaki"
199,"Sundra","Aitutaki"
200,"Becky","Aitutaki"
201,"Ozzy","Aitutaki"
202,"Yul","Aitutaki"
199,"Sundra","Aitutaki"
200,"Becky","Aitutaki"
201,"Ozzy","Aitutaki"
202,"Yul","Aitutaki"
199,"Sundra","Aitutaki"
200,"Becky","Aitutaki"
201,"Ozzy","Aitutaki"
202,"Yul","Aitutaki"
199,"Sundra","Aitutaki"
200,"Becky","Aitutaki"
201,"Ozzy","Aitutaki"
202,"Yul","Aitutaki"
201,"Ozzy",NA
NA,NA,NA
198,"Adam",NA
197,"Parvati",NA
198,"Adam",NA
199,"Sundra",NA
201,"Ozzy",NA
201,"Ozzy",NA
197,"Parvati",NA
202,"Yul",NA
201,"Ozzy",NA
201,"Ozzy",NA
201,"Ozzy",NA
172,"Dan","La Mina"
176,"Bruce","La Mina"
178,"Shane","La Mina"
180,"Terry","La Mina"
171,"Bobby","Viveros"
173,"Nick","Viveros"
174,"Austin","Viveros"
182,"Aras","Viveros"
167,"Tina","Casaya"
168,"Melinda","Casaya"
170,"Ruth Marie","Casaya"
179,"Cirie","Casaya"
169,"Misty","Bayoneta"
175,"Sally","Bayoneta"
177,"Courtney","Bayoneta"
181,"Danielle","Bayoneta"
172,"Dan","La Mina"
176,"Bruce","La Mina"
178,"Shane","La Mina"
180,"Terry","La Mina"
171,"Bobby","Viveros"
173,"Nick","Viveros"
174,"Austin","Viveros"
182,"Aras","Viveros"
169,"Misty","La Mina"
170,"Ruth Marie","La Mina"
172,"Dan","La Mina"
173,"Nick","La Mina"
174,"Austin","La Mina"
175,"Sally","La Mina"
180,"Terry","La Mina"
169,"Misty","La Mina"
170,"Ruth Marie","La Mina"
172,"Dan","La Mina"
173,"Nick","La Mina"
174,"Austin","La Mina"
175,"Sally","La Mina"
180,"Terry","La Mina"
169,"Misty","La Mina"
170,"Ruth Marie","La Mina"
172,"Dan","La Mina"
173,"Nick","La Mina"
174,"Austin","La Mina"
